Loading module for Anaconda
Anaconda 2019.10 is now loaded
SUN
Random Seed:  4115
# of training samples:  10320
Encoder(
  (fc1): Linear(in_features=2150, out_features=4096)
  (fc3): Linear(in_features=4096, out_features=204)
  (lrelu): LeakyReLU(0.2, inplace)
  (linear_means): Linear(in_features=204, out_features=102)
  (linear_log_var): Linear(in_features=204, out_features=102)
)
Generator(
  (fc1): Linear(in_features=204, out_features=4096)
  (fc3): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (sigmoid): Sigmoid()
)
Discriminator_D1(
  (fc1): Linear(in_features=2150, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=1)
  (lrelu): LeakyReLU(0.2, inplace)
)
Feedback(
  (fc1): Linear(in_features=4096, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=4096)
  (lrelu): LeakyReLU(0.2, inplace)
)
AttDec(
  (fc1): Linear(in_features=2048, out_features=4096)
  (fc3): Linear(in_features=4096, out_features=102)
  (lrelu): LeakyReLU(0.2, inplace)
)
[65/400]  Loss_D: -1.6212 Loss_G: -2.2395, Wasserstein_dist:2.1497, vae_loss_seen:342.5984 GZSL: seen=0.3814, unseen=0.4618, h=0.4178 ZSL: unseen accuracy=0.6486
[66/400]  Loss_D: -1.5539 Loss_G: -2.1198, Wasserstein_dist:2.0196, vae_loss_seen:337.8258 GZSL: seen=0.3779, unseen=0.4597, h=0.4148 ZSL: unseen accuracy=0.6542
[67/400]  Loss_D: -1.4822 Loss_G: -2.2346, Wasserstein_dist:2.0521, vae_loss_seen:336.7654 GZSL: seen=0.3748, unseen=0.4438, h=0.4064 ZSL: unseen accuracy=0.6437
[68/400]  Loss_D: -1.6857 Loss_G: -2.4648, Wasserstein_dist:2.3384, vae_loss_seen:349.2676 GZSL: seen=0.3833, unseen=0.4549, h=0.4160 ZSL: unseen accuracy=0.6514
[69/400]  Loss_D: -1.6440 Loss_G: -2.0449, Wasserstein_dist:2.1363, vae_loss_seen:352.7583 GZSL: seen=0.3826, unseen=0.4458, h=0.4118 ZSL: unseen accuracy=0.6451
[70/400]  Loss_D: -1.6458 Loss_G: -2.2857, Wasserstein_dist:2.2360, vae_loss_seen:350.3486 GZSL: seen=0.3864, unseen=0.4583, h=0.4193 ZSL: unseen accuracy=0.6521
[71/400]  Loss_D: -1.5308 Loss_G: -2.1137, Wasserstein_dist:2.0501, vae_loss_seen:345.7069 GZSL: seen=0.3833, unseen=0.4424, h=0.4107 ZSL: unseen accuracy=0.6472
[72/400]  Loss_D: -1.5571 Loss_G: -2.2739, Wasserstein_dist:2.0688, vae_loss_seen:337.8990 GZSL: seen=0.4109, unseen=0.4076, h=0.4092 ZSL: unseen accuracy=0.6417
[73/400]  Loss_D: -1.4859 Loss_G: -1.8401, Wasserstein_dist:2.0236, vae_loss_seen:341.4514 GZSL: seen=0.3826, unseen=0.4451, h=0.4115 ZSL: unseen accuracy=0.6465
[74/400]  Loss_D: -1.5224 Loss_G: -2.1980, Wasserstein_dist:2.0064, vae_loss_seen:350.9846 GZSL: seen=0.3833, unseen=0.4687, h=0.4218 ZSL: unseen accuracy=0.6458
